method,real_path,raw_pattern,normalized_pattern,definition_file,definition_line,usage_count,usage_files,triage
GET,/rest/quality/a/:param/api/scenario/group/schedule/:param/count,${scope(appId)}/api/scenario/group/schedule/${id}/count,${scope(appId)}/api/scenario/group/schedule/:id/count,src/service/Api/TimedTask/index.ts,57,1,src/service/Api/TimedTask/index.ts,
GET,/rest/quality/a/:param/api/scenario/group/selector/:param,${scenarioScoped(appId)}/group/selector/${id},${scenarioScoped(appId)}/group/selector/:id,src/service/Api/PlayWright/api.ts,64,1,src/service/Api/PlayWright/api.ts,
GET,/rest/quality/a/:param/api/scenario/snapshot/:param,${scope(appId)}/snapshot/${snapshotId},${scope(appId)}/snapshot/:snapshotId,src/service/Api/TestScenario/snapshotDetail.ts,30,1,src/service/Api/TestScenario/snapshotDetail.ts,
GET,/rest/quality/a/:param/api/service/list,${QUALITY_URL(aid)}/api/service/list,${QUALITY_URL(aid)}/api/service/list,src/service/Api/Env/index.ts,41,2,src/service/Api/Env/index.ts src/service/Api/Setting/index.ts,
GET,/rest/quality/a/:param/api/test/data/get,${scope(options.appId)}/get,${scope(options.appId)}/get,src/service/Api/TestScenarioData/index.ts,45,2,src/service/Api/TestScenarioData/index.ts src/service/Api/TestScenarioReport/index.ts,
GET,/rest/quality/a/:param/api/test/data/list,${scope(options.appId)}/list,${scope(options.appId)}/list,src/service/Api/TestScenarioData/index.ts,38,1,src/service/Api/TestScenarioData/index.ts,
GET,/rest/quality/a/:param/api/test/setting/addressSetting,${URL(aid)}/addressSetting,${URL(aid)}/addressSetting,src/service/Api/Setting/index.ts,114,1,src/service/Api/Setting/index.ts,
GET,/rest/quality/a/:param/api/test/setting/autoStepRule/builtIn,${URL(appId)}/autoStepRule/builtIn,${URL(appId)}/autoStepRule/builtIn,src/service/Api/StepProcessingRuleService/index.ts,39,1,src/service/Api/StepProcessingRuleService/index.ts,
GET,/rest/quality/a/:param/apiGroup/getCustomPage/:param,${URL(aid)}/getCustomPage/${id},${URL(aid)}/getCustomPage/:id,src/service/Api/ApiGroup/index.ts,80,1,src/service/Api/ApiGroup/index.ts,
GET,/rest/quality/a/:param/apiGroup/getFetchCode/:param,${URL(aid)}/getFetchCode/${id},${URL(aid)}/getFetchCode/:id,src/service/Api/ApiGroup/index.ts,187,1,src/service/Api/ApiGroup/index.ts,
GET,/rest/quality/a/:param/testEnvironment/delete,${TEST_ENVIRONMENT_URL(aid)}/delete,${TEST_ENVIRONMENT_URL(aid)}/delete,src/service/Api/Env/index.ts,23,1,src/service/Api/Env/index.ts,
GET,/rest/quality/a/:param/testEnvironment/getList,${TEST_ENVIRONMENT_URL(aid)}/getList,${TEST_ENVIRONMENT_URL(aid)}/getList,src/service/Api/Env/index.ts,13,1,src/service/Api/Env/index.ts,
GET,/rest/quality/a/:param/uiStep/:param,${uiStepScoped(appId)}/${id},${uiStepScoped(appId)}/:id,src/service/Api/PlayWright/api.ts,40,1,src/service/Api/PlayWright/api.ts,
GET,/rest/quality/getMyLibraries,${COOP_URL}/quality/getMyLibraries,${COOP_URL}/quality/getMyLibraries,src/service/Api/ImportScenario/base.ts,15,1,src/service/Api/ImportScenario/base.ts,
GET,/rest/quality/playwright/api/last,${QUALITY_PLAYWRIGHT_API}/last,${QUALITY_PLAYWRIGHT_API}/last,src/service/Api/Global/index.ts,64,1,src/service/Api/Global/index.ts,
POST,,${url},${url},src/service/index.ts,28,1,src/service/index.ts,
POST,/plugin/api/case/excute,/plugin/api/case/excute,plugin/api/case/excute,src/service/Api/Local/index.ts,109,1,src/service/Api/Local/index.ts,
POST,/plugin/api/cookie,/plugin/api/cookie,plugin/api/cookie,src/service/Api/Local/index.ts,18,1,src/service/Api/Local/index.ts,
POST,/plugin/api/database/delete,/plugin/api/database/delete,plugin/api/database/delete,src/service/Api/Local/index.ts,70,2,src/service/Api/Local/index.ts src/service/Api/Setting/PublicDatabaseService.ts,
POST,/plugin/api/database/queryDetailList,/plugin/api/database/queryDetailList,plugin/api/database/queryDetailList,src/service/Api/Local/index.ts,62,2,src/service/Api/Local/index.ts src/service/Api/Setting/PublicDatabaseService.ts,
POST,/plugin/api/database/queryList,/plugin/api/database/queryList,plugin/api/database/queryList,src/service/Api/Local/index.ts,54,1,src/service/Api/Local/index.ts,
POST,/plugin/api/database/save,/plugin/api/database/save,plugin/api/database/save,src/service/Api/Local/index.ts,45,2,src/service/Api/Local/index.ts src/service/Api/Setting/PublicDatabaseService.ts,
POST,/plugin/api/import/parse,/plugin/api/import/parse,plugin/api/import/parse,src/service/Api/Local/index.ts,181,1,src/service/Api/Local/index.ts,
POST,/plugin/api/job/execute,/plugin/api/job/execute,plugin/api/job/execute,src/service/Api/TimedTask/index.ts,82,1,src/service/Api/TimedTask/index.ts,
POST,/plugin/api/param,/plugin/api/param,plugin/api/param,src/service/Api/Local/index.ts,100,1,src/service/Api/Local/index.ts,
POST,/plugin/api/param/preview,/plugin/api/param/preview,plugin/api/param/preview,src/service/Api/Local/index.ts,118,1,src/service/Api/Local/index.ts,
POST,/plugin/api/report/search,plugin/api/report/search,plugin/api/report/search,src/service/Api/TimedTask/TimedTaskReportService.ts,63,3,src/service/Api/TimedTask/TimedTaskBatchReportService.ts src/service/Api/TimedTask/TimedTaskReportService.ts,
POST,/plugin/api/scenario/batchTerminate,plugin/api/scenario/batchTerminate,plugin/api/scenario/batchTerminate,src/service/Api/TimedTask/index.ts,87,4,src/service/Api/TimedTask/index.ts src/utils/Vue/useTableDraggable.ts src/utils/Vue/useViewTransition.ts,
