method,real_path,raw_pattern,definition,usage_count,usage_files
PUT,/rest/quality/a/{appId}/api/scenario/changeApiEdition,${QUALITY_URL(appId.value)}/api/scenario/changeApiEdition,src/components/TestCaseEditor/ToogleEdition/Main.vue:107,1,src/components/TestCaseEditor/ToogleEdition/Main.vue
PUT,/rest/quality/a/{appId}/api/scenario/checkExecCond,${scope(options.appId)}/api/scenario/checkExecCond,src/service/Api/TestScenario/detail.ts:65,1,src/service/Api/TestScenario/detail.ts
PUT,/rest/quality/a/{appId}/api/scenario/confirmApiEdition,${QUALITY_URL(appId.value)}/api/scenario/confirmApiEdition,src/components/TestCaseEditor/ToogleEdition/Main.vue:136,1,src/components/TestCaseEditor/ToogleEdition/Main.vue
PUT,/rest/quality/a/{appId}/api/scenario/group,${scope(options.appId)}/group,src/service/Api/TestScenarioGroup/index.ts:116,1,src/service/Api/TestScenarioGroup/index.ts
PUT,/rest/quality/a/{appId}/api/scenario/group/move,${scope(options.appId)}/group/move,src/service/Api/TestScenarioGroup/index.ts:120,1,src/service/Api/TestScenarioGroup/index.ts
PUT,/rest/quality/a/{appId}/api/scenario/group/schedule/:param/count,${scope(appId)}/api/scenario/group/schedule/${id}/count,src/service/Api/TimedTask/index.ts:70,1,src/service/Api/TimedTask/index.ts
PUT,/rest/quality/a/{appId}/api/scenario/input,${scope(options.appId)}/api/scenario/input,src/service/Api/TestScenario/index.ts:172,1,src/service/Api/TestScenario/index.ts
PUT,/rest/quality/a/{appId}/api/scenario/manualSync,${scope(options.appId)}/api/scenario/manualSync,src/service/Api/TestScenario/detail.ts:61,1,src/service/Api/TestScenario/detail.ts
PUT,/rest/quality/a/{appId}/api/scenario/move,${scope(options.appId)}/api/scenario/move,src/service/Api/TestScenario/index.ts:188,1,src/service/Api/TestScenario/index.ts
PUT,/rest/quality/a/{appId}/api/scenario/rename,${scope(options.appId)}/api/scenario/rename,src/service/Api/TestScenario/index.ts:164,1,src/service/Api/TestScenario/index.ts
PUT,/rest/quality/a/{appId}/api/scenario/snapshot/:param,${scope(option.appId)}/snapshot/${option.snapshotId},src/service/Api/TestScenario/snapshot.ts:34,1,src/service/Api/TestScenario/snapshot.ts
PUT,/rest/quality/a/{appId}/api/scenario/update,${scope(options.appId)}/api/scenario/update,src/service/Api/TestScenario/detail.ts:49,2,src/service/Api/TestScenario/detail.ts | src/service/Api/TestScenario/index.ts
PUT,/rest/quality/a/{appId}/api/service/:param,${QUALITY_URL(option.aid)}/api/service/${state.id},src/service/Api/Setting/index.ts:182,1,src/service/Api/Setting/index.ts
PUT,/rest/quality/a/{appId}/api/test/data/edit,${scope(options.appId)}/edit,src/service/Api/TestScenarioData/index.ts:56,1,src/service/Api/TestScenarioData/index.ts
PUT,/rest/quality/a/{appId}/api/test/setting/addressSetting,${URL(aid)}/addressSetting,src/service/Api/Setting/index.ts:124,1,src/service/Api/Setting/index.ts
PUT,/rest/quality/a/{appId}/api/test/setting/baseSetting,${URL(aid)}/baseSetting,src/service/Api/Setting/index.ts:104,1,src/service/Api/Setting/index.ts
PUT,/rest/quality/a/{appId}/api/test/setting/mockSetting,${URL(option.aid)}/mockSetting,src/service/Api/Setting/index.ts:41,1,src/service/Api/Setting/index.ts
PUT,/rest/quality/a/{appId}/apiDefinition/edit,${URL(aid)}/edit,src/service/Api/ApiDefinition/index.ts:29,1,src/service/Api/ApiDefinition/index.ts
PUT,/rest/quality/a/{appId}/apiDefinition/getService,${URL(aid)}/getService,src/service/Api/ApiDefinition/index.ts:102,1,src/service/Api/ApiDefinition/index.ts
